
x=-6.283185  erro_sin=2.449294e-16
x=-6.270619  erro_sin=2.463307e-16
x=-6.258053  erro_sin=2.463307e-16
x=-6.245486  erro_sin=2.498002e-16
x=-6.232920  erro_sin=2.428613e-16
x=-6.220353  erro_sin=2.359224e-16
x=-6.207787  erro_sin=2.359224e-16
x=-6.195221  erro_sin=2.498002e-16
x=-6.182654  erro_sin=2.498002e-16
x=-6.170088  erro_sin=2.359224e-16
x=-6.157522  erro_sin=2.498002e-16
x=-6.144955  erro_sin=2.498002e-16
x=-6.132389  erro_sin=2.498002e-16
x=-6.119822  erro_sin=2.220446e-16
x=-6.107256  erro_sin=2.498002e-16
x=-6.094690  erro_sin=2.498002e-16
x=-6.082123  erro_sin=2.498002e-16
x=-6.069557  erro_sin=2.498002e-16
x=-6.056991  erro_sin=2.220446e-16
x=-6.044424  erro_sin=2.220446e-16
x=-6.031858  erro_sin=2.220446e-16
x=-6.019292  erro_sin=2.220446e-16
x=-6.006725  erro_sin=2.775558e-16
x=-5.994159  erro_sin=2.775558e-16
x=-5.981592  erro_sin=2.775558e-16
x=-5.969026  erro_sin=2.775558e-16
x=-5.956460  erro_sin=2.775558e-16
x=-5.943893  erro_sin=3.330669e-16
x=-5.931327  erro_sin=3.885781e-16
x=-5.918761  erro_sin=5.551115e-16
x=-5.906194  erro_sin=7.216450e-16
x=-5.893628  erro_sin=9.992007e-16
x=-5.881061  erro_sin=1.387779e-15
x=-5.868495  erro_sin=1.942890e-15
x=-5.855929  erro_sin=2.775558e-15
x=-5.843362  erro_sin=3.885781e-15
x=-5.830796  erro_sin=5.551115e-15
x=-5.818230  erro_sin=7.827072e-15
x=-5.805663  erro_sin=1.099121e-14
x=-5.793097  erro_sin=1.532108e-14
x=-5.780530  erro_sin=2.120526e-14
x=-5.767964  erro_sin=2.908784e-14
x=-5.755398  erro_sin=3.974598e-14
x=-5.742831  erro_sin=5.384582e-14
x=-5.730265  erro_sin=7.260859e-14
x=-5.717699  erro_sin=9.714451e-14
x=-5.705132  erro_sin=1.291189e-13
x=-5.692566  erro_sin=1.708633e-13
x=-5.680000  erro_sin=2.244871e-13
x=-5.667433  erro_sin=2.934319e-13
x=-5.654867  erro_sin=3.814726e-13
x=-5.642300  erro_sin=4.933831e-13
x=-5.629734  erro_sin=6.349365e-13
x=-5.617168  erro_sin=8.132384e-13
x=-5.604601  erro_sin=1.036837e-12
x=-5.592035  erro_sin=1.315947e-12
x=-5.579469  erro_sin=1.663003e-12
x=-5.566902  erro_sin=2.093103e-12
x=-5.554336  erro_sin=2.623901e-12
x=-5.541769  erro_sin=3.276490e-12
x=-5.529203  erro_sin=4.076184e-12
x=-5.516637  erro_sin=5.052847e-12
x=-5.504070  erro_sin=6.241674e-12
x=-5.491504  erro_sin=3.472778e-13
x=-5.478938  erro_sin=2.765566e-13
x=-5.466371  erro_sin=2.194911e-13
x=-5.453805  erro_sin=1.734168e-13
x=-5.441238  erro_sin=1.365574e-13
x=-5.428672  erro_sin=1.069145e-13
x=-5.416106  erro_sin=8.348877e-14
x=-5.403539  erro_sin=6.483702e-14
x=-5.390973  erro_sin=5.007106e-14
x=-5.378407  erro_sin=3.852474e-14
x=-5.365840  erro_sin=2.953193e-14
x=-5.353274  erro_sin=2.253753e-14
x=-5.340708  erro_sin=1.698641e-14
x=-5.328141  erro_sin=1.287859e-14
x=-5.315575  erro_sin=9.547918e-15
x=-5.303008  erro_sin=7.105427e-15
x=-5.290442  erro_sin=5.218048e-15
x=-5.277876  erro_sin=3.774758e-15
x=-5.265309  erro_sin=2.775558e-15
x=-5.252743  erro_sin=1.887379e-15
x=-5.240177  erro_sin=1.443290e-15
x=-5.227610  erro_sin=9.992007e-16
x=-5.215044  erro_sin=6.661338e-16
x=-5.202477  erro_sin=4.440892e-16
x=-5.189911  erro_sin=2.220446e-16
x=-5.177345  erro_sin=1.110223e-16
x=-5.164778  erro_sin=1.110223e-16
x=-5.152212  erro_sin=0.000000e+00
x=-5.139646  erro_sin=0.000000e+00
